선거구명,선거구역
마 포 구 갑 선 거 구,염리동
마 포 구 갑 선 거 구,신수동
마 포 구 을 선 거 구,서강동
마 포 구 을 선 거 구,서교동
마 포 구 을 선 거 구,합정동
마 포 구 을 선 거 구,망원1동
마 포 구 을 선 거 구,망원2동
마 포 구 을 선 거 구,연남동
마 포 구 을 선 거 구,성산1동
마 포 구 을 선 거 구,성산2동
마 포 구 을 선 거 구,상암동
양 천 구 갑 선 거 구,목1동
양 천 구 갑 선 거 구,목2동
양 천 구 갑 선 거 구,목3동
양 천 구 갑 선 거 구,목4동
양 천 구 갑 선 거 구,목5동
양 천 구 갑 선 거 구,신정1동
양 천 구 갑 선 거 구,신정2동
양 천 구 갑 선 거 구,신정6동
양 천 구 갑 선 거 구,신정7동
양 천 구 을 선 거 구,신월1동
양 천 구 을 선 거 구,신월2동
양 천 구 을 선 거 구,신월3동
양 천 구 을 선 거 구,신월4동
양 천 구 을 선 거 구,신월5동
양 천 구 을 선 거 구,신월6동
양 천 구 을 선 거 구,신월7동
양 천 구 을 선 거 구,신정3동
양 천 구 을 선 거 구,신정4동
강 서 구 갑 선 거 구,화곡제1동
강 서 구 갑 선 거 구,화곡제2동
강 서 구 갑 선 거 구,화곡제3동
강 서 구 갑 선 거 구,화곡제8동
강 서 구 갑 선 거 구,발산제1동
강 서 구 갑 선 거 구,우장산동
강 서 구 을 선 거 구,등촌제3동
강 서 구 을 선 거 구,가양제1동
강 서 구 을 선 거 구,가양제2동
강 서 구 을 선 거 구,공항동
강 서 구 을 선 거 구,방화제1동
강 서 구 을 선 거 구,방화제2동
강 서 구 을 선 거 구,방화제3동
강 서 구 병 선 거 구,염창동
강 서 구 병 선 거 구,등촌제1동
강 서 구 병 선 거 구,등촌제2동
강 서 구 병 선 거 구,화곡제4동
강 서 구 병 선 거 구,화곡본동
강 서 구 병 선 거 구,화곡제6동
강 서 구 병 선 거 구,가양제3동
구 로 구 갑 선 거 구,고척제1동
구 로 구 갑 선 거 구,고척제2동
구 로 구 갑 선 거 구,개봉제1동
구 로 구 갑 선 거 구,개봉제2동
구 로 구 갑 선 거 구,개봉제3동
구 로 구 갑 선 거 구,오류제1동
구 로 구 갑 선 거 구,오류제2동
구 로 구 갑 선 거 구,수궁동
구 로 구 갑 선 거 구,항동
구 로 구 을 선 거 구,신도림동
구 로 구 을 선 거 구,구로제1동
구 로 구 을 선 거 구,구로제2동
구 로 구 을 선 거 구,구로제3동
구 로 구 을 선 거 구,구로제4동
구 로 구 을 선 거 구,구로제5동
구 로 구 을 선 거 구,가리봉동
금 천 구 선 거 구,금천구
영등포구갑선거구,영등포본동
영등포구갑선거구,영등포동
영등포구갑선거구,당산제1동
영등포구갑선거구,당산제2동
영등포구갑선거구,도림동
영등포구갑선거구,문래동
영등포구갑선거구,양평제1동
영등포구갑선거구,양평제2동
영등포구갑선거구,신길제3동
영등포구을선거구,여의동
영등포구을선거구,신길제1동
영등포구을선거구,신길제4동
영등포구을선거구,신길제5동
영등포구을선거구,신길제6동
영등포구을선거구,신길제7동
영등포구을선거구,대림제1동
영등포구을선거구,대림제2동
영등포구을선거구,대림제3동
동 작 구 갑 선 거 구,노량진제1동
동 작 구 갑 선 거 구,노량진제2동
동 작 구 갑 선 거 구,상도제2동
동 작 구 갑 선 거 구,상도제3동
동 작 구 갑 선 거 구,상도제4동
동 작 구 갑 선 거 구,대방동
동 작 구 갑 선 거 구,신대방제1동
동 작 구 갑 선 거 구,신대방제2동
동 작 구 을 선 거 구,상도제1동
동 작 구 을 선 거 구,흑석동
동 작 구 을 선 거 구,사당제1동
동 작 구 을 선 거 구,사당제2동
동 작 구 을 선 거 구,사당제3동
동 작 구 을 선 거 구,사당제4동
